created_at,content,tweet_id
2012-02-04T09:38:03,zo sneeuwpopje maken met mn lieve zusjee @FALLONIUSS,165730828415025152
2012-02-04T09:38:05,@baregje Haaaaaaai #kepzininvanavond! http://t.co/3Ep2BuHY,165730836510019584
2012-02-04T09:38:06,RT @1_floris_1: Kon ik nu maar schaatsen...,165730842793095168
2012-02-04T09:38:09,RT @VVHBiesbosch: VVHB #Biesbosch is klaar voor de hel van 2012! Toertocht te voet! @nationaleparken,165730856168718336
2012-02-04T09:38:09,10:38:13 Prio 1 TS528 BINNENBRAND:WONING GRAAFDIJK WEST 6 MOLENAARSGRAAF,165730856269393920
2012-02-04T09:38:11,Tis waarhoor,165730863894630400
2012-02-04T09:38:11,@BryherTrathen Ohhhhh :O :O HEEEYYY :D:D:D xxx,165730861394829312
2012-02-04T09:38:14,Banaan is minder lekker dan maderijn,165730876464959488
2012-02-04T09:38:15,"@Amberrx_x gefeliciteerd schatje ! 
Loveyouubest !",165730879942041600
2012-02-04T09:38:16,@Ashleyyboo13  ging je slape met lenze,165730883897266176
2012-02-04T09:38:18,@Brittjx maar dat ben ik ook allemaal alleen heb ik geen zwart haar;),165730890788515840
2012-02-04T09:38:19,"@Zoetjeee3 nee ik moest ook schaatsen hebben maar mam heeft ze weggegooid, maar heeft oma nog schaatsen voor mij denk je ? ;$",165730894575968256
2012-02-04T09:38:20,moemoemoe,165730900095680513
2012-02-04T09:38:20,Twee gewonden bij aanrijding op Wollenbergseweg Mill http://t.co/Cmzqn729,165730902675177473
2012-02-04T09:38:23,"イベント楽しみにしてます！　#girls_run　\"@nagaikaori0918: 【ブログ更新】名古屋タカシマヤ Girls Run Week http://t.co/owuKrupQ #ametwi\"",165730914326937600
2012-02-04T09:38:25,@Margotstoel gaan we stad?,165730921465643008
2012-02-04T09:38:29,Rustenburger.,165730940029632512
2012-02-04T09:38:30,Cappuchino ofzo drinken #heerluk,165730940566503424
2012-02-04T09:38:32,"RT @hafeezRM: Maar als een meid je vals maakt , mag je dr gwn eentje uithalen",165730950272139265
