"created_at","content","tweet_id"
"2012-02-04T10:56:07","RT @TEENTOP_JP: 訳)親愛なる私の友達AndyがTEENTOPが1を獲った瞬間、神話が1位を獲った瞬間より更に鳥肌がたったと…自分1人で泣いたと…昨日1日中満面の笑み^^TEENTOP達ご苦労様そしておめでとうございます‼!
RT @yjblu2s: @TE ...","165750477198344192"
"2012-02-04T14:02:35","NIEUWS Zoekactie  gestopt: Zoekactie  gestopt
De Duitse hulpdiensten hebben zaterdag op de Krickenbecker See in ... http://t.co/G0S0dM9Q","165797401423126529"
"2012-02-04T11:43:42","Bill Gates zou trots zijn op Youp van 't Hek, lees:
Appeltje eitje http://t.co/pFIEE68r via @nrc #microsoft #Apple","165762451349053440"
"2012-02-04T10:02:41","@xYouettaa ja hahah dat ben ik ook
En wij hebbe lekker een schaatsbaan in de tuin;dp","165737027042684928"
"2012-02-04T11:32:58","Verkrijgbaar logboek, brandblussers brandhaspels en noodverlichting
uLaat u BHV  verbanddoos controleren en verzegelen .","165759748392759297"
"2012-02-04T11:30:12","http://t.co/dv9lMeNm
  #dathebbenwijweer","165759050972282880"
"2012-02-04T14:07:29","-mal!
+sözünü geri al.
-bizde verilen mal geri alınmaz gardaş :D","165798636008116224"
"2012-02-04T13:54:35","RT @almulla74: دشتي  يهدي فوزه بالمجلس لقتلي البحرين ( كما يزعم) 


وقتلي سوريا تقدر تتكلم عنهم بـ شي!!!


وله الانسانيه تفصلها علي من ...","165795386097803265"
"2012-02-04T09:46:26","Stef dalijk al nokke -,- dan mar fkes vervele en wachte op wessel en
Miss max","165732938472886272"
"2012-02-04T11:53:48","RT @School_shit_: Mijn gedachtes tijdens een toets: 'Huh?!' 
'Ik snap het niet.' 
'Heb ik dit geleerd?' 
'WTF.' #SchoolShit","165764990513594368"
"2012-02-04T13:29:03","Mijlpaal voor Van Persie: Robin van Persie heeft zich zaterdagmiddag in een illuster rijtje van Arsenal 
geschaa... http://t.co/uryTrBPA","165788962819031040"
"2012-02-04T12:11:01","#kenjedat overal zoeken naar iets dat je kwijt bent het komt je moeder binnen lopen en vind het binnen 5 minuten.
#vjv #voorjouvermaak #RT","165769322831163393"
"2012-02-04T09:49:35","RT @S_Aljunaidi: حركة نقل المعلمين الخارجية سوف تصدر يوم الأحد 1432/3/20هـ وستشمل 77.32% من المعلمين في النقل الخارجي.\"يتبع\"
#SaudiTeach ...","165733730818863106"
"2012-02-04T13:22:12","Selectie voor het duel met FC Utrecht 
http://t.co/UU1plGtf 
 #ajax #fcutrecht","165787236628049921"
"2012-02-04T09:56:07","@RemcoMostertman 
Ik ben benieuwd wie het meest zegt met of in die tweets....
Of we dan nog kwantitatief voorop lopen?
#ookiktweetmaarraak","165735376667947009"
"2012-02-04T12:32:07","@AnnBrusseel Misschien wil ie je gewoon beschermen :-)
#positiefdenken","165774632752906240"
"2012-02-04T14:12:33","Binnenkort Graaidag in harderwijk, veel kortingen tot 70% 
vanaf 8.00 uur op zaterdag 26 maart","165799908773867521"
"2012-02-04T14:03:25","@Jewellaimee 

reageer eens op msn jij :O","165797610131689475"
"2012-02-04T11:32:33","Onderweg terug naar Dehli na een bezoek 
Taj Mahal. In 1 woord PRACHTIG. Een heel 
ander #India. Vannacht weer naar NL.","165759642763399168"
"2012-02-04T12:09:39","@robinmolenberg uhm waar gaan jullie daarna heen dan ?
of blijven jullie daar nog eem","165768980588539904"
"2012-02-04T14:12:15","عـزيزي الـسـنقـل إدعـي معـآي: 

عـسى كـل من قـآم يـكـلـم حَـبـيـبـه تـنـقـطع الـشـبكـه !

#Ameeen=))&gt;=) !

#LOL”","165799835235139584"
"2012-02-04T13:40:14","YVAN VALENTINのチョコレートもらっちゃった♡全て手作りで幻のチョコレートって言われてるんだって！http://t.co/Aurgc9xh
もうすぐバレンタインだね♬ http://t.co/M5MWr45c","165791778094587904"
"2012-02-04T14:01:50","Lekker in de #sneeuw  aan het spelen met de slee

 http://t.co/4mmI1Mh8","165797213879021568"
"2012-02-04T12:00:57","Wat heeft Yordi het lekker warm met              
           z'n prachtige muts!!!
                      #RT http://t.co/0ANbI6Jd","165766786036416512"
"2012-02-04T10:53:03","Griechenland verbietet Tiere in Zirkussen
Athen/Berlin - Griechenland verbietet Tiere in Zirkussen. Wie... http://t.co/Z6yAQ5uf","165749704280379392"
"2012-02-04T13:59:15","@ijsch 2012 #RTVsternet
Bekijk deze foto's: http://t.co/os87nPvZ","165796563287949312"
"2012-02-04T11:00:50","Gaz krizinde geri adım yok 
http://t.co/N7cB1Ot7","165751664119267328"
"2012-02-04T13:45:31","@hotwater11 はごつい下駄を見つけた！
賢者の靴を脱いだ！
すばやさが8下がった！
そこはかとなさが45下がった！
ごつい下駄を装備した！
すばやさが2上がった！
うさんくささが37上がった！
#lvequipchange","165793106086723585"
"2012-02-04T13:48:37","@UtsuhoR は祈りの髪飾りを見つけた！
リーゼントを脱いだ！
かしこさが1下がった！
いたいたしさが8下がった！
祈りの髪飾りを装備した！
かしこさが8上がった！
体力が4上がった！
中二から僧侶に転職した！
#lvequipchange","165793885791064064"
"2012-02-04T13:28:13","RT @byla_au: Elo GANJEN! DEMEK!
najong!","165788752671801347"
"2012-02-04T10:36:14","RT @hartje_x: kijk nooit in mijn ogen, als alles wat je doet een 
leugen is.","165745473498513408"
"2012-02-04T12:06:13","@iamna7 来週の土日は仕事だー(ToT)日光で鎌倉作りという…

韓国行きたい☆","165768117555965953"
"2012-02-04T10:29:34","Bekijk ook deze foto \"Paul Turner\" op de site van The voice of Holland. #tvoh -  http://t.co/9jr9q470 via @rtl_tvoh
zo funny xxx","165743792845099009"
"2012-02-04T11:10:50","Ben zaten bu dünyada iki kişiden çok çektim; 
Biri Vedat Milor. 
Diğeri zaten kendini biliyor..","165754178558361600"
"2012-02-04T10:24:30","@jbijmaa jaa jij de mijne ook het zijn 2 smsjes anders lukte het niet hihi
groetjes,","165742519735431168"
"2012-02-04T11:34:55","寒い…
歩きながらのMoonriders…
東京タワーのライトがきれい","165760238597844993"
"2012-02-04T13:56:16","@WdeGelder 
Understatement vh jaar... En we zijn pas in Februari","165795812054536192"
"2012-02-04T11:04:15","@annnaxxx maar an ik ga zo al naar stal mesten en rijden dus ik
Zie jou denk niet want ik moet in de middag thuis zijn vor doe verjaardag!","165752523339206659"
